lines	Plant_height	year	loc
D121	81.96	2022	Hangzhou
D121	73.8	2022	Hefei
D121	74.82	2022	Wuhan
D121	70.66666667	2023	Hangzhou
D121	79.1	2023	Hefei
D121	62.66666667	2023	Wuhan
D78	64.4	2022	Hangzhou
D78	65.1	2022	Hefei
D78	70.42	2022	Wuhan
D78	68.66666667	2023	Hangzhou
D78	76.4	2023	Hefei
D78	66	2023	Wuhan
D1341	75.28	2022	Hangzhou
D1341	78.3	2022	Hefei
D1341	77.6	2022	Wuhan
D1341	75.66666667	2023	Hangzhou
D1341	88.3	2023	Hefei
D1341	71.5	2023	Wuhan
D617	74.62	2022	Hangzhou
D617	83.7	2022	Hefei
D617	75.08	2022	Wuhan
D617	82	2023	Hangzhou
D617	91.6	2023	Hefei
D617	73.33333333	2023	Wuhan
D3528	108.7	2022	Hangzhou
D3528	109.3	2022	Hefei
D3528	104.4	2022	Wuhan
D3528	101	2023	Hangzhou
D3528	121.1	2023	Hefei
D3528	104.3333333	2023	Wuhan
D1104	88.74	2022	Hangzhou
D1104	94.3	2022	Hefei
D1104	96.8	2022	Wuhan
D1104	101.3333333	2023	Hangzhou
D1104	108.1	2023	Hefei
D1104	90.33333333	2023	Wuhan
D1962	114.9	2022	Hangzhou
D1962	125.5	2022	Hefei
D1962	103.6	2022	Wuhan
D1962	124.6666667	2023	Hangzhou
D1962	146.9	2023	Hefei
D1962	118.3333333	2023	Wuhan
D146	78.08	2022	Hangzhou
D146	81.7	2022	Hefei
D146	73.08	2022	Wuhan
D146	77.66666667	2023	Hangzhou
D146	89.9	2023	Hefei
D146	72	2023	Wuhan
D3259	103.2	2022	Hangzhou
D3259	83.8	2022	Hefei
D3259	92	2022	Wuhan
D3259	96.83333333	2023	Hangzhou
D3259	106.6	2023	Hefei
D3259	78.66666667	2023	Wuhan
D2556	119.7	2022	Hangzhou
D2556	117.6	2022	Hefei
D2556	111.5	2022	Wuhan
D2556	107	2023	Hangzhou
D2556	122.7	2023	Hefei
D2556	114	2023	Wuhan
D1086	96.64	2022	Hangzhou
D1086	98.4	2022	Hefei
D1086	90.64	2022	Wuhan
D1086	97.66666667	2023	Hangzhou
D1086	101.3	2023	Hefei
D1086	85.66666667	2023	Wuhan
D2879	133.16	2022	Hangzhou
D2879	127.2	2022	Hefei
D2879	116.22	2022	Wuhan
D2879	114.6666667	2023	Hangzhou
D2879	133	2023	Hefei
D2879	107.3333333	2023	Wuhan
D2844	147.2	2022	Hangzhou
D2844	138.5	2022	Hefei
D2844	131.4	2022	Wuhan
D2844	147.3333333	2023	Hangzhou
D2844	153.1	2023	Hefei
D2844	135.7	2023	Wuhan
D823	105.38	2022	Hangzhou
D823	105.7	2022	Hefei
D823	99.52	2022	Wuhan
D823	113	2023	Hangzhou
D823	104.5	2023	Hefei
D823	101.6666667	2023	Wuhan
D1611	86	2022	Hangzhou
D1611	78.6	2022	Hefei
D1611	80	2022	Wuhan
D1611	91.66666667	2023	Hangzhou
D1611	102.4	2023	Hefei
D1611	107	2023	Wuhan
D1339	64.78	2022	Hangzhou
D1339	72.6	2022	Hefei
D1339	61.52	2022	Wuhan
D1339	69	2023	Hangzhou
D1339	79.9	2023	Hefei
D1339	65.33333333	2023	Wuhan
D660	66.3	2022	Hangzhou
D660	69.5	2022	Hefei
D660	64.98	2022	Wuhan
D660	71.66666667	2023	Hangzhou
D660	77	2023	Hefei
D660	62.33333333	2023	Wuhan
D2894	115.5	2022	Hangzhou
D2894	118.8	2022	Hefei
D2894	115.56	2022	Wuhan
D2894	101.6666667	2023	Hangzhou
D2894	113.8	2023	Hefei
D2894	95	2023	Wuhan
D3171	143.4	2022	Hangzhou
D3171	142	2022	Hefei
D3171	140.8	2022	Wuhan
D3171	136.3333333	2023	Hangzhou
D3171	147.3	2023	Hefei
D3171	133.3333333	2023	Wuhan
D2671	153.6	2022	Hangzhou
D2671	141.9	2022	Hefei
D2671	139.3	2022	Wuhan
D2671	156.3333333	2023	Hangzhou
D2671	148	2023	Hefei
D2671	138.6666667	2023	Wuhan
D2873	131.92	2022	Hangzhou
D2873	121.8	2022	Hefei
D2873	123.28	2022	Wuhan
D2873	122.3333333	2023	Hangzhou
D2873	128	2023	Hefei
